,keyword,urls_seo,name_seo,h3_seo,currency,avg__monthly_searches,cambio_en_tres_meses,cambio_interanual,competition,competition_(indexed_value),top_of_page_bid_(low_range),top_of_page_bid_(high_range),average_bid,rank_avg_monthly_searches,rank_cambio_en_tres_meses,rank_average_bid,score
81,tupper comida,https://www.amazon.es/tupper-comida/s?k=tupper+comida,Amazon.es,Fiambreras acero inoxidable,EUR,170.0,0.86,0.0,Alta,100.0,0.08,0.61,0.345,26,32,4,61.333333333333336
82,tupper comida,https://www.tappers.es/,tappers.es,¿Acero inoxidable y acero quirúrgico es lo mismo? - Ainox SAS,EUR,170.0,0.86,0.0,Alta,100.0,0.08,0.61,0.345,26,32,4,61.333333333333336
83,tupper comida,https://www.gadgetscuina.com/tupper-take-away/take-away-comida-solida/bolsa-porta-alimentos-y-tuppers-para-llevar,Gadgets & Cuina,¿Cómo saber si te vendieron acero inoxidable?,EUR,170.0,0.86,0.0,Alta,100.0,0.08,0.61,0.345,26,32,4,61.333333333333336
84,tupper para fiambre,https://www.amazon.es/tupper-embutido/s?k=tupper+embutido,Amazon.es,¿CÒMO IDENTIFICAR SI ES ACERO INOXIDABLE? - Ainox SAS,EUR,170.0,0.53,0.0,Alta,100.0,0.09,0.26,0.175,26,15,44,103.33333333333333
85,tupper para fiambre,https://practicdomus.es/collections/porta-embutidos?srsltid=AfmBOooLHBee1nAOPgzzZY0JkMurJ59-VOERpSqrJmSS_EmuFoPMin4-,PracticDomus,Acero inoxidable en la industria alimentaria | Eprom S.A.,EUR,170.0,0.53,0.0,Alta,100.0,0.09,0.26,0.175,26,15,44,103.33333333333333
86,tupper para fiambre,https://www.granmenaje.com/surtido-taper-para-embutidos-y-fiambres-de-ibili,Granmenaje,Tupper Compartimentos,EUR,170.0,0.53,0.0,Alta,100.0,0.09,0.26,0.175,26,15,44,103.33333333333333
87,tupper fiambre,https://www.amazon.es/tupper-fiambrera/s?k=tupper+fiambrera,Amazon.es,Los mejores táperes con compartimentos para ...,EUR,170.0,0.5,-0.19,Alta,100.0,0.09,0.29,0.19,26,13,37,92.66666666666667
88,tupper fiambre,https://practicdomus.es/collections/porta-embutidos?srsltid=AfmBOopGO3zDEpAYOjcLDogH38VqDX5uwA_Y3u0hOnnyWvEys62iKZuW,PracticDomus,▷ Tuppers y Fiambreras dos o más compartimentos,EUR,170.0,0.5,-0.19,Alta,100.0,0.09,0.29,0.19,26,13,37,92.66666666666667
89,tupper fiambre,https://www.ikea.com/es/es/cat/tapers-tarteras-bolsas-20606/,IKEA,Ocho tarteras y termos para sólidos con los que comer caliente en el ...,EUR,170.0,0.5,-0.19,Alta,100.0,0.09,0.29,0.19,26,13,37,92.66666666666667
90,tupper trabajo,https://www.amazon.es/tupper-trabajo/s?k=tupper+trabajo,Amazon.es,Preguntas frecuentes - Tupperware MX,EUR,170.0,1.89,0.24,Alta,100.0,0.05,0.4,0.225,26,52,20,96.0
